Country,EdLevel,Experience,Language,Salary
Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,Bash/Shell (all shells);Dart;SQL,61256.0
Netherlands,"Associate degree (A.A., A.S., etc.)",10.0,Java,104413.0
Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Dart;HTML/CSS;JavaScript;TypeScript,53061.0
Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,Java;Kotlin;SQL,36197.0
Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),60000.0
Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Java;Scala,120000.0
Ukraine,Some college/university study without earning a degree,13.0,JavaScript;TypeScript,6240.0
Ukraine,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",30.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,72000.0
Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,Java;Python;Scala,70000.0
Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,HTML/CSS;Java;JavaScript;SQL;TypeScript,65691.0
Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,C#,14400.0
Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,HTML/CSS;JavaScript;TypeScript,1099.0
United States of America,Some college/university study without earning a degree,11.0,C#;C++;JavaScript;Python;Visual Basic (.Net),87500.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",41.0,Bash/Shell (all shells);JavaScript;Perl;SQL;TypeScript,108913.0
Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,C#;JavaScript;PowerShell;TypeScript,162421.0
Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36.0,C#;Java;Python;SQL,209643.0
Dominican Republic,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",13.0,HTML/CSS;JavaScript;Python;TypeScript,78000.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript,205000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,Elixir;HTML/CSS;JavaScript;SQL;TypeScript,250000.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26.0,C#;Python;SQL,175000.0
Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,95132.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Fortran;Java;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),109000.0
United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,C#;HTML/CSS;SQL;TypeScript,91215.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,HTML/CSS;JavaScript;Ruby;SQL,150000.0
United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",38.0,HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,99999.0
United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,HTML/CSS;JavaScript;Python;TypeScript,270000.0
United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Swift;TypeScript;Visual Basic (.Net),250000.0
Czech Republic,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,C#;C++;Python,43810.0
Hungary,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",23.0,Java;MATLAB;OCaml;Python;Scala,80966.0
Malaysia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Go;Java;JavaScript;Python;TypeScript,28275.0
United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,C#;Elixir;HTML/CSS;JavaScript;SQL;TypeScript,142949.0
Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,117793.0
Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19.0,C#;JavaScript,75410.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,C#;C++;Lua;PowerShell;Python;R,81210.0
Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;Zig,63909.0
United States of America,Some college/university study without earning a degree,8.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,151000.0
Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,83531.0
Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Assembly;C++;Groovy;Java;JavaScript;Kotlin;Rust;TypeScript,46406.0
United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",30.0,Assembly;Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MicroPython;PHP;PowerShell;Python;SQL,6000.0
Poland,Some college/university study without earning a degree,12.0,Assembly;Bash/Shell (all shells);C;C++;Go;Python;Swift,62767.0
